Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2010-01-04,63.51906967163086,18.22938537597656,,8.739999771118164,33.87122344970703,10.193224906921387,37.09000015258789,9.699999809265137,39.40459060668945,10.778428077697754
2010-01-05,63.1212387084961,18.082107543945312,,8.529999732971191,34.080551147460945,10.21126651763916,37.70000076293945,9.710000038146973,39.17037963867188,10.668042182922363
2010-01-06,64.01640319824219,18.182525634765625,,8.399999618530272,34.442859649658196,10.157143592834473,37.61999893188477,9.56999969482422,39.51192474365234,10.557658195495604
2010-01-07,64.06229400634766,18.333152770996094,,8.399999618530272,34.410655975341804,9.91358757019043,36.88999938964844,9.470000267028807,39.50217056274414,10.565544128417967
2010-01-08,64.51371765136719,18.426876068115234,,8.229999542236326,34.27378463745117,9.832404136657717,36.68999862670898,9.43000030517578,39.65829849243164,10.86515998840332
2010-01-11,64.25355529785156,18.52059936523437,,8.079999923706055,34.24158477783203,9.823382377624512,36.209999084472656,9.140000343322754,39.26796340942383,10.93612575531006
2010-01-12,64.30714416503906,18.467042922973636,,7.889999866485597,34.02419662475586,9.71513557434082,35.65999984741211,8.649999618530272,38.584877014160156,10.809968948364258
2010-01-13,64.10053253173828,18.791168212890625,,7.960000038146973,34.410655975341804,9.841424942016602,36.27999877929688,9.149999618530273,39.12158584594727,11.101704597473145
2010-01-14,63.88632583618164,18.811559677124023,,8.25,34.716602325439446,9.796320915222168,35.900001525878906,9.0,38.6043815612793,11.109586715698242
2010-01-15,63.78686904907226,18.859140396118164,,8.050000190734862,34.46701431274414,9.823382377624512,35.86999893188477,8.84000015258789,38.36043167114258,11.07016372680664
2010-01-19,65.12578582763672,19.10044860839844,,8.350000381469728,35.22382354736328,9.778279304504396,36.95000076293945,9.010000228881836,38.545841217041016,11.141125679016113
2010-01-20,64.81977844238281,19.11404037475586,,8.479999542236326,35.030593872070305,9.76023769378662,36.4900016784668,8.869999885559082,38.214054107666016,10.809968948364258
2010-01-21,63.27425384521485,18.8829288482666,,8.510000228881836,34.69244766235352,9.552767753601074,35.81999969482422,8.989999771118164,38.28235626220703,10.541889190673828
2010-01-22,62.34082794189453,18.526071548461914,,8.449999809265138,33.959789276123054,9.354314804077148,34.380001068115234,7.880000114440918,38.780033111572266,10.265920639038086
2010-01-25,62.60863494873047,18.590648651123047,,8.25,33.718265533447266,9.128798484802246,34.15999984741211,8.069999694824219,39.52167510986328,10.573427200317383
2010-01-26,62.45559692382813,18.51587677001953,,8.149999618530272,33.67799758911133,9.029573440551758,33.939998626708984,8.090000152587889,39.57049179077149,10.305344581604004
2010-01-27,62.96818923950195,18.318754196166992,,8.270000457763674,33.75851058959961,9.345293045043944,33.139999389648445,8.189999580383299,39.60952377319336,10.155537605285645
2010-01-28,61.78229904174805,18.335752487182614,,8.180000305175781,33.243236541748054,9.246068000793457,32.889999389648445,7.880000114440918,38.80930709838867,9.997841835021973
2010-01-29,61.5833854675293,17.992481231689453,,7.920000076293945,33.001708984375,9.164881706237793,32.299999237060554,7.460000038146973,38.497047424316406,9.958416938781738
2010-02-01,61.54509353637695,18.12843132019043,,7.929999828338622,33.16272354125977,9.092717170715332,32.47999954223633,7.980000019073486,39.51192474365234,10.163419723510742
2010-02-02,61.53744888305664,18.502286911010746,,8.029999732971191,33.50891494750977,9.246068000793457,32.97999954223633,7.9099998474121085,40.195011138916016,10.344769477844238
2010-02-03,62.35612487792969,18.573650360107425,,8.010000228881836,33.49282073974609,9.43549919128418,32.97999954223633,7.809999942779541,40.195011138916016,10.171305656433104
2010-02-04,60.60402297973633,18.29156875610352,,8.270000457763674,32.69575881958008,9.164881706237793,32.240001678466804,7.190000057220459,39.94130325317383,9.33552360534668
2010-02-05,60.09139633178711,18.34255027770996,,8.430000305175781,32.63940048217773,9.209983825683594,32.77000045776367,7.3499999046325675,39.73637390136719,9.248788833618164
2010-02-08,59.31865692138672,18.131832122802734,,8.859999656677246,32.341503143310554,9.164881706237793,32.049999237060554,7.420000076293945,39.82418823242188,9.26456069946289
2010-02-09,60.22912979125977,18.131832122802734,,9.34000015258789,32.397872924804695,9.065656661987305,32.310001373291016,7.539999961853027,40.56583786010742,9.564181327819824
2010-02-10,60.152626037597656,18.101238250732425,,9.520000457763672,32.220748901367195,9.110758781433104,32.759998321533196,7.639999866485597,41.30748748779297,9.414371490478516
2010-02-11,61.4150276184082,18.196409225463867,,9.59000015258789,32.42201995849609,9.98575210571289,32.639999389648445,7.8400001525878915,41.522159576416016,9.422256469726562
2010-02-12,60.5810432434082,18.32895278930664,,9.65999984741211,32.599143981933594,10.02183437347412,31.45000076293945,7.869999885559082,41.77588272094727,9.280329704284668
2010-02-16,61.56806945800781,18.553268432617188,,9.8100004196167,32.880943298339844,9.931628227233887,31.809999465942386,8.060000419616701,41.60023498535156,9.34340763092041
2010-02-17,61.71820831298828,18.607637405395508,,9.859999656677246,32.84067916870117,10.057916641235352,32.330001831054695,8.029999732971191,41.84419250488281,9.48533535003662
2010-02-18,62.46524429321289,18.68240737915039,,9.989999771118164,33.259334564208984,9.920763969421387,33.240001678466804,7.949999809265138,39.180137634277344,9.48533535003662
2010-02-19,62.78099822998047,18.48188781738281,,9.949999809265137,32.905086517333984,9.8659029006958,33.880001068115234,7.929999828338622,39.03376770019531,9.603604316711426
2010-02-22,62.13410949707031,18.488697052001953,,10.020000457763672,32.76821517944336,9.7196044921875,33.700000762939446,7.9000000953674325,39.26796340942383,9.461679458618164
