Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,ATVI_1d,ATVI_2d,ATVI_3d,ATVI_4d,ATVI_5d,ATVI_6d,ATVI_7d
2010-01-04,63.51906967163086,18.22938537597656,0.0,8.739999771118164,33.87122344970703,10.193224906921387,37.09000015258789,9.699999809265137,39.40459060668945,10.778428077697754,0.0017699610165103738,-0.0035397349137674954,-0.027433647278897785,-0.03539809761468779,-0.036283171682569774,-0.04690265710275214,-0.034513117106432775
2010-01-05,63.1212387084961,18.082107543945312,0.0,8.529999732971191,34.080551147460945,10.21126651763916,37.70000076293945,9.710000038146973,39.17037963867188,10.668042182922363,-0.005300314580095858,-0.02915201037349417,-0.037102388849315465,-0.037985899138428036,-0.04858662169294207,-0.03621897195452556,-0.04063605642847597
2010-01-06,64.01640319824219,18.182525634765625,0.0,8.399999618530272,34.442859649658196,10.157143592834473,37.61999893188477,9.56999969482422,39.511924743652344,10.557658195495604,-0.023978790928570082,-0.03197153345413458,-0.032859751578723215,-0.04351696069409458,-0.031083409221525637,-0.03552403038457122,-0.032859751578723215
2010-01-07,64.06229400634766,18.333152770996094,0.0,8.399999618530272,34.410655975341804,9.91358757019043,36.88999938964844,9.470000267028807,39.50217056274414,10.565544128417967,-0.008189107420287167,-0.009099147198453126,-0.020018181555821704,-0.007279163840829618,-0.011828881738118257,-0.009099147198453126,-0.013648768897033533
2010-01-08,64.51371765136719,18.426876068115234,0.0,8.229999542236326,34.27378463745117,9.832404136657717,36.68999862670898,9.43000030517578,39.65829849243164,10.86515998840332,-0.0009175537241771295,-0.01192674351938903,0.0009174567311826691,-0.0036698269247315797,-0.0009175537241771295,-0.0055047403870970985,-0.007339653849463159
2010-01-11,64.25355529785156,18.52059936523437,0.0,8.079999923706055,34.24158477783203,9.823382377624512,36.209999084472656,9.140000343322754,39.26796340942383,10.93612575531006,-0.011019300595511138,0.0018366957223600302,-0.0027548008783597555,0.0,-0.004591399518647489,-0.0064279981589357655,-0.027548008783597557
2010-01-12,64.30714416503906,18.46704292297364,0.0,7.889999866485598,34.02419662475586,9.71513557434082,35.65999984741211,8.649999618530272,38.584877014160156,10.809968948364258,0.012999238838141493,0.008356583421827971,0.011142078507847899,0.0064995212553027445,0.004642459088776969,-0.016712872352351384,-0.03714006536528996
2010-01-13,64.10053253173828,18.791168212890625,0.0,7.960000038146973,34.410655975341804,9.841424942016602,36.27999877929688,9.149999618530273,39.12158584594727,11.101704597473145,-0.0045830788793468505,-0.0018333284558275308,-0.006416310431085411,-0.008249541982824512,-0.02933083269102073,-0.04949589523970292,-0.07241090202008202
2010-01-14,63.88632583618164,18.811559677124023,0.0,8.25,34.716602325439446,9.796320915222168,35.900001525878906,9.0,38.6043815612793,11.109586715698242,0.002762410769975274,-0.0018416720801517864,-0.0036833441603041166,-0.024861696929777466,-0.045119603060185726,-0.06814011466107461,-0.07826892170089972
2010-01-15,63.78686904907226,18.859140396118164,0.0,8.050000190734862,34.46701431274414,9.823382377624512,35.86999893188477,8.84000015258789,38.36043167114258,11.07016372680664,-0.004591399518647489,-0.0064279981589357655,-0.027548008783597557,-0.047750108416404036,-0.07070720309171451,-0.08080810728500956,-0.04866850481862029
2010-01-19,65.12578582763672,19.10044860839844,0.0,8.350000381469728,35.22382354736328,9.778279304504396,36.95000076293945,9.010000228881836,38.545841217041016,11.141125679016113,-0.0018450700942307982,-0.02306249840904416,-0.04335778179622536,-0.06642076785462292,-0.07656826325340745,-0.04428041437321147,-0.05442790977199582
2010-01-20,64.81977844238281,19.11404037475586,0.0,8.479999542236326,35.030593872070305,9.76023769378662,36.4900016784668,8.869999885559082,38.214054107666016,10.809968948364258,-0.0212566483209339,-0.04158944714716138,-0.06469506468949504,-0.07486131753737958,-0.04251378519263215,-0.05268003804051651,-0.060998103348223864
2010-01-21,63.27425384521485,18.8829288482666,0.0,8.510000228881836,34.69244766235352,9.552767753601074,35.81999969482422,8.989999771118164,38.28235626220703,10.541889190673828,-0.020774392787798662,-0.044381825219084375,-0.054768871864605904,-0.02171880589046244,-0.03210585253598379,-0.04060457213743746,-0.048158878636227545
2010-01-22,62.34082794189453,18.526071548461914,0.0,8.449999809265138,33.959789276123054,9.354314804077148,34.380001068115234,7.880000114440918,38.780033111572266,10.265920639038086,-0.024108267040212218,-0.03471567616944532,-0.0009644489438470362,-0.011571858073079946,-0.02025087906564676,-0.02796545111436672,-0.011571858073079946
2010-01-25,62.60863494873047,18.590648651123047,0.0,8.25,33.718265533447266,9.128798484802246,34.15999984741211,8.069999694824219,39.52167510986328,10.573427200317383,-0.01086945279991442,0.02371555912885148,0.012846106328937254,0.003952680245447277,-0.00395247130791448,0.012846106328937254,0.03359705080493707
2010-01-26,62.45559692382813,18.51587677001953,0.0,8.149999618530272,33.67799758911133,9.029573440551758,33.939998626708984,8.090000152587889,39.57049179077149,10.305344581604004,0.034965063031027685,0.023976166943769847,0.014985011925188689,0.006992991482853013,0.023976166943769847,0.04495514139232889,0.014985011925188689
2010-01-27,62.96818923950195,18.318754196166992,0.0,8.270000457763674,33.75851058959961,9.345293045043944,33.139999389648445,8.189999580383299,39.60952377319336,10.155537605285645,-0.010617649309895977,-0.01930504885577959,-0.027027068398091506,-0.010617649309895977,0.009652575452203167,-0.01930504885577959,-0.014478863178304274
